cell_line_name,genetic_feature,is_mutated
CAL-51,ASXL2_mut,0
CAL-51,ATM_mut,0
CAL-51,ATR_mut,0
CAL-51,BAP1_mut,0
CAL-51,BNC2_mut,0
CAL-51,BRAF_mut,0
CAL-51,BRCA1_mut,0
CAL-51,BRCA2_mut,1
CAL-51,CDH1_mut,0
CAL-51,CHD4_mut,0
CAL-51,CHEK2_mut,0
CAL-51,CLSPN_mut,0
CAL-51,CTCF_mut,0
CAL-51,CUX1_mut,0
CAL-51,DHX15_mut,0
CAL-51,EIF4A2_mut,0
CAL-51,EP300_mut,0
CAL-51,FAT1_mut,0
CAL-51,FLT3_mut,0
CAL-51,FTSJD1_mut,0
CAL-51,GATA3_mut,0
CAL-51,KALRN_mut,0
CAL-51,KDM5C_mut,0
CAL-51,KDM6A_mut,0
CAL-51,KRAS_mut,0
CAL-51,LARP4B_mut,0
CAL-51,LPHN2_mut,0
CAL-51,MACF1_mut,0
CAL-51,MAP2K4_mut,1
CAL-51,MAP3K1_mut,0
CAL-51,MAX_mut,1
CAL-51,MECOM_mut,0
CAL-51,MED23_mut,0
CAL-51,MGA_mut,0
CAL-51,MLL_mut,1
CAL-51,MLL3_mut,0
CAL-51,MLLT4_mut,0
CAL-51,MYH9_mut,0
CAL-51,NF1_mut,0
CAL-51,NF2_mut,0
CAL-51,NSD1_mut,1
CAL-51,NUP98_mut,0
CAL-51,PIK3CA_mut,1
CAL-51,PIK3R1_mut,0
CAL-51,POLR2B_mut,1
CAL-51,PTEN_mut,1
CAL-51,SACS_mut,1
CAL-51,SMARCA4_mut,1
CAL-51,STAG2_mut,0
CAL-51,SVEP1_mut,0
CAL-51,TCF12_mut,0
CAL-51,TP53_mut,0
CAL-51,TRIO_mut,0
CAL-51,ZFP36L1_mut,0
CAL-85-1,AHNAK_mut,0
CAL-85-1,AKAP9_mut,0
CAL-85-1,APC_mut,0
CAL-85-1,ARFGEF2_mut,0
CAL-85-1,ARID1A_mut,0
CAL-85-1,ARID1B_mut,0
CAL-85-1,ARID4B_mut,0
CAL-85-1,ASH1L_mut,1
CAL-85-1,ASPM_mut,0
CAL-85-1,ASXL2_mut,0
CAL-85-1,ATM_mut,0
CAL-85-1,ATR_mut,0
CAL-85-1,BAP1_mut,0
CAL-85-1,BNC2_mut,0
CAL-85-1,BRAF_mut,0
CAL-85-1,BRCA1_mut,0
